No.,Text,Marah,Antisipasi,Jijik,Takut,Bahagia,Sedih,Terkejut,Percaya
3625,Terima kasih yang Udah Follow FB ini^^ . Dan terima kasih juga yang Udan Unfoll '-')9,0,0,0,0,1,0,0,0
1695,Semoga yang kena banjir airnya cepet surut & listrik segera nyala aamiin.,0,1,0,0,0,0,0,0
1344,Aku punya banyak harapan di 2020. Jadi tahun yang baik ya,0,1,0,0,1,0,0,0
3386,"Teruntuk mutualku yang ga pernah muncul dinotif, Selamat Tahun Baru! Semoga ini tahunnya kamu!",0,1,0,0,1,0,0,0
3032,Di awal tahun ini aku sangat siap untuk menjadi seorang yang sukses bahkan sangat sangat siap,0,1,0,0,0,0,0,0
493,"Tuhan, semoga wilayah yang mati listrik cepat hidup kembali, termasuk rumahqu dan kostqu. Aamiin.",0,1,0,0,0,0,0,0
3563," Tolong, gimana supaya akun itu hilang. Hobby banget nyebar opini atau hoax yang bikin orang-orang jatuh.",0,0,1,1,0,0,0,0
1683,semoga yang disediakan tersemogakan oleh diriku untuk diriku dan kebahagiaan org2 tersyg ku,0,1,0,0,1,0,0,0
3480,Wkwk udah feeling si sbnrnya emng changmin yang bakal jadi sasaran dispatch. Ehhh udah keduluan sama SM wkekekwk,0,0,0,0,1,0,0,0
3082,"Itu yang masih sering bilang 'kau rebahan' tolong segera disudahi, basi bngst! #NgeluhPertama2020",1,0,0,0,0,0,0,0
1040,Ya Allah jadikanlah kami imam (pemimpin) bagi orang-orang yang bertakwa.,0,0,0,0,0,0,0,1
3938,Perbanyak sabar dan syukur ya Buk... semoga banyak kebaikan yang akan didapatkan di masa mendatang,0,1,0,0,0,0,0,0
1629,kasian yang pada banjir. alhamdulillah tridaya 2 anti2 banjir klep,0,0,0,0,0,1,0,0
1719,Kau akan rasa sedih bila kau tak sempat jawab call orang² yang penting dalam hidup kau,0,0,0,0,0,1,0,0
2469,"2020 semoga musibah di tinggalkan, diganti dengan nikmat yang indah.",0,1,0,0,0,0,0,0
2149,yang kena banjir stay safe gengs :( serem banget gawd,0,0,0,1,0,0,0,0
1352,jadi pribadi yang lebih baik dr sblmnya sudah cukup. semoga bisa!,0,1,0,0,0,0,0,0
1201,"Temen-temen yang rumahnya kena banjir, semoga lekas surut yaa! ",0,1,0,0,0,0,0,1
722,"Selamat yang lahir 29 Februari, tahun ini bisa ulang taun.",0,0,0,0,1,0,0,0
2924,"Hahaha, mau nya yang ringan aja, besok kasih yang keras(timpok batu) ",0,0,1,0,1,0,0,0
3440,Semua yang aku rasa ini semuanya kan salah. Salah aku punya otak sinting seperti ini.,0,0,1,0,0,0,0,0
2172,2020 ~ semoga menjadi yang terbaik untukku dan kamu untuk selalu bersama mengelana waktu,0,1,0,0,0,0,0,0
2918,"Happy new year ocan, semoga di tahun ini kita menjadi orang yang lebih baik lagi",0,0,0,0,1,0,0,0
948,"Sedih banget liat yang kena banjir, apalagi kucing-kucingnya. ",0,0,0,0,0,1,0,0
647,Stay safe temen temen yellkie yang berada di jabodetabek  #banjir2020,0,0,0,0,0,0,0,1
2702,ada yang jual wg so hot first press mending beli apa nggak.............. mau nangis,0,0,0,0,0,1,0,0
3725,Happy birthday yaa!! Semoga yang kamu harapkan dan segala usahamu tercapai! Sekali lagi happy birthday!,0,1,0,0,1,0,0,0
352,"Kamu yang terindah, bakalan tetap menjadi yang terindah. Sampai kapanpun. :"")<3",0,0,0,0,1,0,0,1
1885,"Selamat tahun baru Iska, terima kasih kembali dan doa yang sama untukmu kembali. ",0,0,0,0,1,0,0,0
3961,"2020 banyak cita-cita yang harus dicapai, bismillah wisuda dan kerja! Yokk semangat!!!",0,1,0,0,1,0,0,0
2891,"Apapun yang terjadi sama kamu, kita akan selalu ada disamping kamu love you SweetYoriChibi",0,0,0,0,1,0,0,1
1470,Terima kasih 2019 selamat datang 2020 yang penuh target dan harapan,0,1,0,0,1,0,0,0
915,Oh iya untuk teman-teman yang terkena banjir semoga cepet surut ya. Aamiin,0,1,0,0,0,0,0,1
3492,"Selamat Tahun Baru 2020, turut berduka yang kena banjir, jaga kesehatan. Dan tetap semangat.",0,1,0,0,0,0,0,0
2473,Semoga diberi tempat yang terbaik di sisi Nya. Amin YRA,0,1,0,0,0,0,0,0
2587,"yes yes recommended banget! resto ini yang bikin aku jadi suka jamur, padahal tadinya ga doyan blas ",0,0,0,0,1,0,1,0
1013,"Iyaa, sakit ngeliat dia sama yang lain :((",0,0,0,0,0,1,0,0
1552,Semoga bisa dapet kerjaan yang lebih baik dan membawa berkah,0,1,0,0,0,0,0,0
3882,Selamat tinggal 2019 - Selamat datang 2020 semoga menjadi tahun yang terbaik dari tahun tahun lalu ... Aamiin Yra,0,1,0,0,1,0,0,0
4045,"PRIA IDAMAN: Dia yang sesungguhnya memiliki banyak pilihan, tapi memilih untuk cinta dan setia hanya kepadamu",0,0,0,0,0,0,0,1
1913,thanksss hehe tulaaa dah makan malam belum dia tu  harap2 hyung yang lain bagi dia makan hahaha,0,0,0,0,1,0,0,0
529,"Panik karena nggak ada yang bangunin pas nyampe cimahi, kalo aing ketiduran aing bangun bangun di bandung-_-",1,0,0,0,0,0,1,0
3432,"""Mungkin aku tidak diperhitungkan. Tapi aku senang bersama dengan orang yang sangat bersemangat."" Happy",0,0,0,0,0,0,0,1
951,Mengawali 2020 dengan menghempaskan bekas2 jerawat yang bikin gw insecure tai!,1,0,0,0,0,0,0,0
1647,terus berjuang menuju lebih baik dan mencapai apa yang belum tercapai di tahun 2020,0,1,0,0,1,0,0,0
3702,bukannya banjir ini gara2 SJW yang menentang penggusuran terus proyek ciliwung ga berjalan ya?,0,0,1,0,0,0,0,0
210,SIAPP KAPTENN!! Semogaa ditahun inii ombak yang menerjang gak kerass bangett gakk bikin semangat rusak,0,1,0,0,1,0,0,0
3261,"klo iya, kenapa menyalahkan pemimpinnya sedangkan yang membuang sampah sembarangan adalah masyarakat nya sendiri?",0,0,1,0,0,0,0,0
864,"Yang hyung paham, kalau hyung sayang kamu....",0,0,0,0,1,0,0,1
2033,Sudah 2020 dan sialnya aku masih mencintai manusia lucu yang kutemui di tahun 2017~,0,0,0,0,1,0,0,1
291,"Stay safe ya kalian yang daerah rumahnya banjir Semoga cepet surut dan hujannya ga memperparah keadaan, amin",0,1,0,0,0,0,0,1
2979,"Kyuhyun : Tahun 2013 yang cerah untuk semuanya, Semangat dalam hal apapun !! [bot]",0,1,0,0,1,0,0,0
3094,"Cinta yang datang karna fisik semata takkan bertahan lama, namun cinta yang menilai karena hati justru akan abadi",0,0,0,0,0,0,0,1
1465,"terimakasih 2019, ditahun itu aku bisa nemuin banyak fambest yang berharga huhu",0,0,0,0,1,0,0,0
2412,"Udah mulai gerimis lagi dirumah:(, stay safe yang terkena banjir:'(",0,1,0,0,0,1,0,0
1167,"buat yang rumahnya kena banjir stay safe ya, semoga airnya cepet surut",0,0,0,0,0,0,0,1
1447,2020 dimulai dengan bencana banjirpuji Tuhan rumah aman tapiiii sedihhh liat yang pada kebanjiran,0,0,0,0,0,1,0,0
2306,"Terima kasih 2019, banyak sekali nikmat yang sudah Allah berikan, Alhamdulillah",0,0,0,0,1,0,0,0
401,"Dari semua outlet hokben yang pernah gw datengin, hokben fx paling bersih, rapi, nyaman dan enak...",0,0,0,0,1,0,0,0
3222,"Tolong bilang ke aku itu siapa yang berani narik baju kamu coba, coba bilang ke aku yoongi-ah",0,0,1,0,0,0,0,0
408,"Selamat taun baruu ka memo semoga bukan hanya taun yang baruu, tapi.. (isi sendiri)",0,0,0,0,1,0,0,0
867,kakaaak semogaaa tahun 2020 makin lebih baik dr yang sebelumny yaa,0,1,0,0,0,0,0,0
3458,2020 day 1 // jamming serentak dgn 30 band yang hebaaat!! Mantul!!,0,0,0,0,1,0,0,0
1089,"rindu yang selalu tumbuh ,hingga menjadi candu.:')",0,0,0,0,0,1,0,0
2191,Semoga apa yang kamu harapkan dan menjadi goalsmu ditahun 2020 bisa terwujud ya,0,1,0,0,0,0,0,0
1603,2020 : semoga tak berjumpa dengan lelaki yang suka menipu,0,1,0,0,0,0,0,0
3740,semangat semua yang di jabodetabek dan sekitarnya yang terdampak banjir :”) yok kuat yok.,0,1,0,0,0,0,0,0
3019,Happy new year! Semoga 2020 bisa jadi tahun yang baik dan memuaskan. Semangat terus ya nulisnya,0,1,0,0,1,0,0,0
1853,"Hshshhshs jangan diharap mbak, ntar dia minta maaf lagii, aku yang nangis :((",0,0,0,0,0,1,0,0
314,"Bahkan jika kau sebenarnya telah beralih kepada yang lain, aku akan berusaha berbahagia untukmu.",0,0,0,0,0,0,0,1
788,Awal tahun diawali dengan mantan yang tiba tiba ngechat. Bangsat,1,0,1,0,0,0,0,0
135,"Kesalahan-kesalahan yang ada di hari-hari, pekan-pekan, dan tahun-tahun lalu mari kita bersihkan dengan niat memperbaiki diri.",0,1,0,0,0,0,0,0
779,"""Hanya Allah Maha Mengetahui setiap isi yang ada dalam hati.""",0,0,0,0,0,0,0,1
1842,“nak kene maki ke” rude gile babi kau ni layan orang yang sayang kau macam tu bodoh sia,1,0,0,0,0,0,0,0
4149,Semoga tidak terjadi hal sama yang seperti kemarin. Dan kita akan menjalani cerita yang lebih indah,0,1,0,0,0,0,0,0
3798,"Hargai setiap Tahun yang anda lalui, ambil ia sebagai pengajaran dan dugaan, bukan kebencian.",0,0,0,0,0,0,0,1
688,"""Semoga ditahun ini masih ditemani, dilindungi orangorang yang baik""",0,1,0,0,0,0,0,1
1334,Semangat untuk tim-tim yang membantu proses evakuasi korban banjir Jabodetabek,0,0,0,0,1,0,0,0
2098,Semoga yang belum terealisasi di 2019 bisa terealisasi di 2020 aamiin,0,1,0,0,0,0,0,0
3035,Sedangkan engkau melahirkan ku dalam keadaan suci. Tapi kenapa hidup harus bergelut dngan yang haram.,0,0,0,0,0,1,0,0
1956,HAHAHA bener juga ga ada yang tau juga aku bakal potong beneran atau engga lol,0,0,0,0,1,0,0,0
696,"Bahagia terus, pokonya yang baik baik. I love you!",0,0,0,0,1,0,0,1
2672,Yang udah semangat untuk kerja lagi selamat pagi. Buat mata nya yang masih merah selamat pagi juga :),0,0,0,0,1,0,0,0
916,"yang rumahnya kena banjir, hati-hati ya. jangan ampe ada ular kobra nyelonong. tetap waspada.",0,0,0,1,0,0,0,1
751,Terima kasih pak. Berikan penangan yang terbaik. Bismillah,0,0,0,0,0,0,0,1
759,semoga tahun ini jadi tahun yang baik buat kita semua yaa!,0,1,0,0,0,0,0,0
1493,"awww lcu bnget,,,, happy ya kalian!! yang langgeng ",0,0,0,0,1,0,0,0
2620,"ya jadi kaya pejabat yang korupsi aja, udah sumpah atas nama Tuhan, masi aja berbohong..",0,0,1,0,0,0,0,0
1280,"abis akutu bingung, nungguin rumah yang kebanjiran :(",0,0,0,0,0,1,0,0
2784,Saya mencintai diri sendiri apa yang miliki pd tahun 2020. Semangat eplin.. #loveyourself,0,0,0,0,1,0,0,1
400,"@shotgurn kamu tau apa yang paling indah dari bintang? Itu, senyumu .",0,0,0,0,1,0,0,0
3763,padahal lo pada yang bikin rame wkakakakak ayo udah 2020 nih masa mau bego mulu?,0,0,1,0,0,0,0,0
1046,LUPAKAN semua masalalu dan jalani kehidupan yang BARU! #TweetDSAP,0,1,0,0,0,0,0,0
383,"turut berduka cita untuk semua yang ada disana. semoga bisa cepat kembali kekeadaan semula, aamiin #Banjir",0,0,0,0,0,1,0,0
2560,"Terkadang menurutmu Tuhan tak adil, tapi percayalah Tuhan tak pernah memberi hal yang salah dalam hidupmu.",0,0,0,0,0,0,0,1
2165,Momen akhir tahun yang luar biasa. Thanks. #happynewyear2020,0,0,0,0,1,0,0,0
2801,"Doaku, semoga aku sembuh dan untuk dirimu, semoga menjadi orang yang lebih baik lagi.",0,1,0,0,0,0,0,0
2773,WAHHHH THANK YOUUUUU. happy birthday juga yupi. semoga tahun ini yang baik baik aja buat kita,0,0,0,0,1,0,0,0
2644,semoga sehat dan bahagia selalu! impiannya tercapai dan makin banyak yang sayang @pledis_17 #SEVENTEEN,0,1,0,0,0,0,0,0
1893,"Yang daerahnya kebanjiran, yang sabar ya. Semoga cepat surut airnya. Mari berdoa #banjir",0,0,0,0,0,0,0,1
1901,please jgan lama2....kasian yang punya bayi dan anak kecil....tolong segera dialirkan.....ayo segera mungkin,0,0,0,0,0,1,0,0
692,Tak ada yang bisa ku lakukan selain melihat dan membuatmu bahagia.,0,0,0,0,1,0,0,1
2068,semoga tahun ini kamu dapat pekerjaan yang tetap ya aamiinsehat selalu kak!,0,1,0,0,0,0,0,0
223,hpnya pada gak aktif ini yang di rumah.. belum surut kali ya jadi masi mati listrik.. ckck :|||,0,0,0,0,0,1,0,0
2326,Terimakasih 2019 tahun dimana jadi seorang ibu yang rasanya luar biasa nikmat,0,0,0,0,1,0,0,0
835,semoga 1 masalah ini yang kebawa sampe 2020 cepet selesai,0,1,0,0,0,0,0,0
1984,"aku yang marah orang aku yang nangis , ya allah berdosa nya aku ",0,0,1,0,0,1,0,0
1337,Mereka berdua kan gak ada yang pinter????,0,0,0,0,0,0,1,0
781,Luar biasa partisipasi kementerian #BUMNBantuBanjir. Semoga bisa membantu warga yang terkena banjir,0,1,0,0,1,0,0,0
1765,"Iya lho, Gi... Hmmm... Well selalu ada hal positif yang bisa diambil ",0,0,0,0,0,0,0,1
3979,"hari pertama di 2020 dibikin marah sama banjir, mati lampu, dan sinyal telkomsel yang kek anjing",1,0,0,0,0,0,0,0
3443,#IDan_IDe Obat terbaik bagi kegelisahan adalah kesibukan yang baik. Sibuklah. Senangkanlah seseorang yang kau cintai. MT,0,0,0,0,0,0,0,1
4034,Syukurilah apa yang anda dapatkan baik suka ataupun tidak maka anda sudah menghargai hidup anda sendiri,0,1,0,0,0,0,0,0
693,"Serius, hilang respect sama partner kerja yang tidak profesional.",1,0,1,0,0,0,0,0
1248,"Untuk daerah-daerah yang kebanjiran, semoga cepat surut banjirnya.",0,1,0,0,0,0,0,1
1219,"Semoga selalu di dekatkan dengan orang orang yang baiknya tulus, bukan cuma cuma ",0,1,0,0,0,0,0,1
2184,semoga aja yang toxic di dalam diriku hilang di tahun 2020,0,1,0,0,0,0,0,0
2020,Di tahun 2019 ini alhamdulillah banget point-point yang direncanakan on schedule.,0,0,0,0,1,0,0,0
1394,"yang penting udah seneng, udah seneng duluan aja gatau kejadian atau ga yg penting seneng",0,0,0,0,1,0,0,0
3101,Dari dulu ingin buat melihara husky. Cinta sama anjing yang gede gede :(((((,0,0,0,0,0,1,0,0
1433,"Aku diam aku imut, aku sayang kamu kamu sayang yang lain :)",0,0,0,0,0,1,0,0
2016,Semoga tahun ini banyak anak yang lahir 29 februari wkwkwk,0,1,0,0,0,0,0,0
111,"Kamu itu seperti perampok, yang masuk menyelinap kedalam mimpiku dan mengambil hati beserta perasaanku.",0,0,0,0,1,0,0,1
3152,Ketika setiap kritik cuma berakhir dengan dikotomi Pro Anies/Pro Jokowi. Ga ada yang lebih waras apa kelean?,0,0,1,0,0,0,0,0
3297,10.Jadilah yang terbaik. Anda tidak boleh setengah-setengah.Setiap hal yang Anda lakukan untuk klien harus lah yang terbaik.,0,1,0,0,0,0,0,1
686,Semoga banjir jakarta mengartikan banyak rezeki untuk yang tinggal disana,0,0,0,0,0,0,0,1
1225,Semoga jadi pribadi yang lebih baik lagi dan rejeki tambah lancar,0,1,0,0,0,0,0,0
2119,"Bismillah, semoga 2020 lebih banyak kabar baik yang didengar drpd kabar buruknya ",0,1,0,0,0,0,0,0
4144,Semoga 2020 bisa menghilangkan trauma yang kadang-kadang masih membekas. Semoga tidak ada lagi orang yang menambah luka batin ini..,0,1,0,0,0,0,0,0
3679,Alhamdulillah semoga di tahun yang baru ini membawa perubahan yang lebih baik dan mendapat berkah dari allah ta'ala. Aamiin,0,1,0,0,1,0,0,0
1102,Tahun yang beda dengan orang yang sama. Semoga seterusnya gitu,0,1,0,0,1,0,0,0
674,"Selamat, pak. Sehat2 terus, biar tutuk yang momong cucu..",0,0,0,0,1,0,0,1
175,untuk memeriahkan penyambutan hari baru. tanggal baru. bulan baru dan tahun yang baru #SelamatTahunBaru2020,0,1,0,0,1,0,0,0
4018,Turut prihatin buat temen-temen yang terkena banjir. Semoga hujannya mereda dan banjir pun surut. Amin,0,1,0,0,0,1,0,0
868,"Terimakasih 365 hari yang lalu, semoga bersahabat 366 hari yang akan datang..",0,1,0,0,1,0,0,0
3220,Anjing apaan sih. Notif apaan yang spam bangsat hp gue geter 10 detik.,1,0,0,0,0,0,0,0
3734,Happy new year semoga menjadi tahun yang penuh bermakna and happiness for me :),0,1,0,0,1,0,0,0
3167,"PLIS JUP  Lo ngegombal yang seru dikit jup, lo didikan percintaan mana sih jup",0,1,0,0,0,0,0,0
2297,"Untuk kaliam semua, maaf sampai sekarang aku belum menjadi pribadi yang baik",0,0,0,0,0,1,0,0
2385,Terima kasih tuhan di 2019 kemarin begitu pahit semoga di tahun 2020 mendapatkan kesenangan yang gak terduga datangnya.,0,1,0,0,0,0,0,0
1123,Aamiin Dan yang belum menikah semoga cepat bertemu jodoh dan menikah,0,1,0,0,1,0,0,0
3433,"Okay, nak hantar anis masuk asrama f1, aku yang nangis. Hmmmmmmmmmmmmmmmmmmm.",0,0,0,0,0,1,0,0
3627,cuma videonya cheol yang ada suaranya :((((( TAMBAH KANGENNNNN:(((((,0,0,0,0,0,1,0,0
2062,Semoga ditahun ini kita bertemu teman-teman baru yang benar-benar teman ya!,0,1,0,0,0,0,0,0
1959,"Banjir di rumah w ternyata bukan karna hujan, tapi air mata w yang jatoh. Jiah",0,0,0,0,0,1,0,0
1517,"moment awal tahun yang luar biasa, semoga selalu baik untuk kedepannya.",0,1,0,0,1,0,0,0
2692,UJIAN terbesar bangsa ini adalah PEMIMPIN yang sibuk ngenyangin perut KRONI²nya...!!!,1,0,0,0,0,0,0,0
650,Agak tidak memuaskan.. Tapi untungnya ada beberapa hal yang sangat disyukuri..,0,0,0,0,1,0,0,0
2698,Pinter banget sih anak kecil yang satu ini /cium pipi kanannya/ gih tidur sayang /senyum sambil elusin pelan rambutnya/,0,0,0,0,1,0,0,0
3657,"kan gue bilang, ganteng tapi ga ganteng. yang artinya lo ga ganteng, ka. ",0,0,1,0,0,0,0,0
470,"Untuk semua moment yang tlah mengisi hidup saya di tahun 2019,terima kasih.",0,0,0,0,1,0,0,0
2257,"Permulaan yg kurang baik. Moga2 perjalanan kami seterusnya, yang paling baik in shaa Allah",0,1,0,0,0,0,0,0
1299,Serem banget yang sampe uler masuk dalam keadaan banjir..........,0,0,0,1,0,0,0,0
763,Diawal ditengah diakhir:) 2019 yang sangat berat untuk ku lewati,0,0,0,0,0,1,0,0
3419,"// GEMESS, semoga langgeng dan bahagia ya nderr! ku doakan yang terbaik untukmuu",0,0,0,0,1,0,0,0
3430,Makasih ibu selalu dengerin aku ngeluh  ga ada yang lain selain ibu yang ngerti perasaan ku,0,0,0,0,0,0,0,1
3661,"harapanku simple, banyak kebahagiaan, dan lebih bersyukur juga menghargai tiap waktu yang terus mengalir.",0,1,0,0,0,0,0,0
1824,"Love you too kakkk, doa yang terbaik pokonya buat kita semua di tahun ini ",0,1,0,0,1,0,0,1
3421,"Terimakasih untuk arti kekecewaan yang sangat dalam di akhir 2019, . kelak takkan pernah lagi sama.",0,1,0,0,0,0,0,0
195,"Tuhan, sampaikanlah aku di masa dewasa yang mapan dan sejahtera, yang membanggakan orang tuaku. Aamii",0,1,0,0,0,0,0,1
1480,Awal tahun diselamatkan oleh ipk yang msh bisa ambil paketan HAHAHA,0,0,0,0,1,0,0,0
3514,tolong dong kalo pak ahok yang jadi gubernur kalo allah takdir kan Jakarta banjir mah bisa apa?,0,0,1,0,0,0,0,0
3583,Kok di base udah jarang yang kirim video foto taeil sih:( kangen bat anjir,0,0,0,0,0,1,0,0
3212,"Teman2 ada saran yang bisa kulakukan mati lampu gini, akses keluar masih banjir :(",0,0,0,0,0,1,0,0
2393,"Selamat tahun new 2k20, semoga menjadi tahun yang baik. ",0,1,0,0,1,0,0,0
1289,"Semua yang kita ikhlaskan, tidak akan sia² begitu saja. #Yakin karo Gusti Allah ",0,0,0,0,0,0,0,1
1472,Alhamdulillah perum aman. Semoga yang lain cepat surut ya,0,1,0,0,1,0,0,0
4131,"thank you, olive semoga yang baik-baik datang ke 2020 yaa yuk minum air putih yuk",0,1,0,0,1,0,0,0
3794,"Buat teman-teman yang daerahnya kena banjir, stay safe ya. Semoga banjirnya segera surut dan bantuan segera datang ",0,1,0,0,0,0,0,0
813,yang kena banjir pls stay safe ya kalian sekeluarga... huhu cuma bisa bantu doa,0,0,0,0,0,1,0,1
1416,32. Suka makan yang manis2 tapi takut diabetes :((,0,0,0,1,0,0,0,0
2790,KOK CUTE BGT. happy new year seol happy new year semua yang ada disini,0,0,0,0,1,0,0,0
628,Kok u yang maluu sihhh??!!!,0,0,1,0,0,0,1,0
203,Selamat hari lahir untuk yang befday dia sama dengan ayah saya!! Bapak awal keluar dunia,0,0,0,0,1,0,0,0
1431,"Semoga yang daerahnya terdampak banjir, semuanya selamat dan baik-baik saja",0,1,0,0,0,0,0,0
4100,kamu adalah satu satunya orang yang kutunggu untuk memberi kabar setiap hari. Hanya kamu :),0,0,0,0,1,0,0,1
3993,pamitnya pakek adem panas udah cantik tinggal berangkat eh ada aja dramanya  ya allah awal tahun yang menyedihkan,0,0,0,0,0,1,0,0
570,"Tuhan, aku memaafkan mereka yang melukai perasaanku, karena dengannya Engkau akan membahagiakan hidupku. Aamiin",0,0,0,0,0,0,0,1
3829,"Tuhan suka pamer, ya? Makanya Dia ciptain kamu, bukti Dia bisa buat sesuatu yang sempurna.",0,0,0,0,1,0,0,1
1298,Selamat buat pemenang.. dan semoga selanjutnya saya yang bruntung dapat untuk kedua kalinya,0,1,0,0,1,0,0,0
3509,"Mudah-mudahan aku mendewasa dengan sukses. Karena, sukses mengundang cinta yang lebih berkelas. Aamiin",0,1,0,0,0,0,0,0
1496,2020. Semoga orang yang banyak bacot berkurang populasinya.,1,1,1,0,0,0,0,0
1677,"Stay safe untuk yang terkena banjir , semoga lekas surut ",0,1,0,0,0,0,0,1
3252,Sesaat lagi kita akan menyaksikan tiap orang main salah-salahan karena banjir yang melanda. Waktu dan tempat dipersilahkan..,0,1,0,0,0,0,0,0
241,Terimakasih 2019 sudah menjadi tahun yang berkesan untukku. Jatuh dan gagal yang aku rasakan menjadi pembelajaran sendiri untukku,0,0,0,0,1,0,0,1
3098,mas taeil jan sering-sering begini ya ntar yang ada aku sesak terus gegara gANTENG BANGET AJEGILE HUHUHU MONANGES,0,0,0,0,1,0,0,0
190,dipertemukan dengan................ dengan siapa yang jelas!! jawab!!,1,0,0,0,0,0,0,0
521,"Aku memang bukan yang terbaik untukmu, tapi kamu tak pernah tau bahwa diriku sangat mincintaimu setulus hatiku. Teens_Rika",0,0,0,0,1,0,0,1
2034,Mengawali tahun dengan bangun gasik banget. Semoga menjadi awal yang baik.,0,1,0,0,0,0,0,0
750,Kalau suatu saat kamu hancurkan hatiku… akan kucintai kamu dengan kepingannya yang tersisa.,0,0,0,0,0,1,0,1
2316,"Banyak harapan di 2020 yang harus diselesaikan, semoga dimudahkan dan diberi kelancaran aamiin.",0,1,0,0,0,0,0,0
3626,Sungguh bodoh orang2 yang tidak belajar dari kesalahan. Jangan buang sampah sembarangan. #Banjir,1,0,1,0,0,0,0,0
1000,Semoga tahun ini jadi tahun yang berkah ya:),0,1,0,0,0,0,0,0
107,"Iyaa dong aku masih inget sama kamuu, aku bingung kalau mau jadi yang lain jadi siapa yaa :(",0,0,0,0,1,0,0,0
4170,"happy new year juga jiejieee~! aamiiin, jiejie juga yang terbaik buat tahun inii",0,1,0,0,1,0,0,0
3665,"Tuhan, sisakan 1 lagi manusia yang kaya dia untuk ak dong ya, ya.",0,1,0,0,0,0,0,0
3802,Panjang umur myday yang ngadain giveaway awal tahun! Gokil bener sob ga ngerti lagi pada baik2 anak fandom ini,0,0,0,0,1,0,0,0
2985,ini rame bgt pada kangen kangenan.. terus apa tidak ada yang kangen aku apaa?.g,0,0,0,0,0,1,0,0
3389,"Kadang aku tidak menghargai orang yang mencintai ku sepenuh hati sampai"" aku merasa kehilangan nyaa.",0,0,0,0,0,1,0,0
2971,Wkwkkwwkw lama tak bersua rani sudah mulai pinter menghubungkan suatu permasalahan yang ada ya hahhaa,0,0,1,0,0,0,0,0
3939,Terimakasih Tuhan atas segala pertolonganmu.. tetap mengucap syukur dan melupakan segala hal2 buruk yang pernah terjadi sebelumnya,0,0,0,0,1,0,0,1
1976,"Semoga meningkat yang positif, menurun yang negatif. Aamiin.",0,1,0,0,1,0,0,0
3877,Makasih buat waktu yang kita abisin bareng bareng. Semoga 1/365 awal yang baik buat kitaaaa,0,1,0,0,1,0,0,0
605,"semangat Ka, semoga nanti dpt yang sesuai dg passion kaka, jd ttp enjoy nantinya,.",0,0,0,0,0,0,0,1
2961,Seketika aku bersyukur punya pacar yang walaupun konyol tapi pengertian banget kalo w lebih bucin ke Seventeen dibanding dia,0,0,0,0,1,0,0,1
1841,"Ada sesuatu yang aku rindukan, entah itu kamu, kita, atau cerita kemarin yang telah usai ~",0,0,0,0,0,1,0,0
3223,"pdhl udh berusaha jadi yang paling bisa di banggakan, tp knp mereka msh minta yang lebih lebih lagi?",0,0,1,0,0,1,0,0
2116,happy newyear juga kakak~ ehehe semoga 2020 jadi taun yang baik yaa~,0,1,0,0,1,0,0,0
3438,"Diem dikamar, rebahan, mainan hp, sambil nunggu nek ada yang ngajak keluar eh tapi gaada :(",0,0,0,0,0,1,0,0
679,"Selamat pagi Januari, selamat mengerjakan tugas kampus yang melelahkan #NgeluhPertama2020",0,0,0,0,0,1,0,0
3322,"Apakah orang yang kupikir telah pergi selamanya, kembali lagi muncul di hadapanku?”",0,0,0,0,0,0,1,0
1037,Semoga tuhan membalas semua yang terjadi kepadaku suatu saat nanti,0,1,0,0,0,0,0,1
3893,"Semoga segala sesuatu yang mau kaka lakuin di 2020 tercapai dan berjalan lancar,,, dan bahagia selalu ",0,1,0,0,0,0,0,0
2125,Selamat menjalani hari pertama di tahun yang baru oppa.,0,0,0,0,1,0,0,0
1305,"dah new year pun ada lagi orang yang buat i sedih ""(",0,0,0,0,0,1,0,0
1205,what... ada yang nyalahin Tuhan??!?!?!,0,0,1,0,0,0,1,0
1240,Beneran kaga ada yang jadian nih?????,0,0,0,0,0,0,1,0
2434,met taun baru mootssss. semoga jadi taun yang baikkk,0,0,0,0,1,0,0,0
2247,eeee bagusnya first tweet untuk 2020. permulaan yang baik!,0,0,0,0,1,0,0,0
172,"2020 - mari kita cerdaskan bangsa ini sama sama, kita lunakan hati  yang keras, kita hajar para pembodoh",0,1,0,0,0,0,0,0
735,Alhamdulillah umur dah masuk 19 baru boleh terima apa yang berlaku.,0,0,0,0,1,0,0,0
3644,"Tak masalah kamu berjalan dengannya, yang bermasalah sekarang kamu telah menyia-nyia kan orang yang benar mencintaimu..",0,0,0,0,0,1,0,0
1324,"Semoga tahun ini menjadi awal yang baik buat aku:"")",0,1,0,0,1,0,0,0
2031,"Selamat tahun baru  , semoga jadi manusia yang lebih baik lagi.. Amin ",0,1,0,0,1,0,0,0
2935,kok Sama Sih kak aku punya utang 9 hari dan baru empat hari yang lunas,0,0,0,0,0,0,1,0
1229,"aamiin, semoga kita brng2 dpt ptn yang kita mau yaa",0,1,0,0,0,0,0,1
2466,Selamat tahun baru.  yang sudah terjadi ya dievaluasi agar tidak terulang dan bisa lebih baik di tahun ini.,0,1,0,0,0,0,0,0
3473,"Yang membuat kita sedih adalah,, melihat orang yang kita sayangi menyayangi orang lain..",0,0,0,0,0,1,0,0
